index,rest_name
0,AB's - Absolute Barbecues
1,Cafe Co2 Resto Lounge
2,Paasha - JW Marriott Pune
3,I Amsterdam
4,FC Road Social
5,Flechazo
6,Barbeque Nation - Sayaji Hotel
7,BeHive
8,Kayani Bakery
9,Exotica
10,Planet 9
11,Toit
12,Smoky Beach
13,Barbeque Ville
14,Thorat's Baarbeque Misal
15,2BHK Diner & Key Club
16,The Mafia
17,The Cult - Terra
18,Le Plaisir
19,Teritree
20,Sukanta
21,Tarsh Gastronomia
22,TTF - The Tenth Floor
23,The Barkhana
24,Publiq
25,Atmosphere 6
26,Aroma's Hyderabad House
27,The Ruby Hilltop - Sunny's World
28,The FML Lounge
29,Mi-a-Mi - JW Marriott Pune
30,Spice Factory
31,Hotel Jagdamba
32,The Urban Foundry
33,The Secret Garden
34,Universal Barbeque
35,Smoke On The Water
36,Surve's Pure Non-Veg
37,Urbo
38,Spice Kitchen - JW Marriott Pune
39,Barometer
40,Cafe Goodluck
41,German Bakery
42,Pimlico
43,Babylon Craft Brewery
44,Darshan
45,Eternia Rooftop
46,Blu Grass
47,The Sassy Spoon
48,Vaishali
49,Tatva The Vegetarian Kitchen
50,Marz-O-Rin
51,PK Biryani House
52,Zeeshan Restaurant - Apna Hyderabadi Food
53,Durvankur
54,Agent Jack's
55,ROOTS 9 KITCHEN & BAR
56,Penthouze
57,Little Italy
58,World of Veg
59,Linkin Barrel
60,Fly High
61,Thikana
62,High Spirits
63,Cuba Libre
64,Dario's
65,Burger
66,NH 37 Dhaba
67,Hippie@Heart
68,Kargo
69,Theobroma
70,Malaka Spice
71,360 Degree - The Revolving Fine Dine Restaurant
72,Vohuman Cafe
73,Maharaja Bhog
74,Hard Rock Cafe
75,Blue Nile
76,Ministry Of Barbeque
77,Yana Sizzlers & Wok
78,Autobahn
79,18 Degrees Resto Lounge
80,Satguru's Punjabi Rasoi
81,Anna Idli
82,Crazy Cheesy
83,Azzurro
84,Gong
85,The Deccan Bid Capital
86,Claypot
87,Le Stone
88,Zeleb
89,Marine Drive
90,Legends of Punjab
91,Pop Tate's
92,Highland
93,P. K. Biryani House
94,Lad Restaurant
95,Texas Tower
96,Elephant & Co.
97,Effingut Brewerkz
98,Cafe Paashh
99,The Ritz-Carlton Tea Lounge
100,Madéline
101,Baobab
102,Moshi Moshi
103,Loft
104,Culture - पुणे
105,McDonald's
106,Independence Brewing Company
107,Tatyancha Dhaba
108,Cafe Blu - Radisson Blu
109,Green Signal
110,SP's Biryani House
111,Baba Ramdev Dhaba
112,Retox
113,Baraza Bars & Bites
114,BarBerry
115,Nawab Asia
116,Blue Water
117,True Tramm Trunk
118,Tathya
119,Santè Spa Cuisine
120,UNWIND
121,The Irani Cafe
122,Arabian Bites
123,Makaza
124,Chili's American Grill & Bar
125,Madari - The Crazy Bar
126,Sigree
127,The Cult - House
128,Mezza 9
129,Tales & Spirits
130,House of Paratha
131,Mughal Mahal
132,Hackers Kitchen & Bar
133,The Millers Homebar & Kitchen
134,Level 5 Bistro and Bar
135,Tipsy Turtle
136,RushHrs
137,Samudra
138,Son Of A Gun
139,Kerala Cafe
140,Nisarg
141,Sky High - The Club
142,Grandmama's Cafe
143,Laa Unico
144,Burger King
145,Green Park
146,Talli
147,FOMO
148,Carnival Restaurant and Bar
149,Mainland China
150,Ahilyadevi's Thali
151,The French Window Patisserie
152,BMG - Unplugged
153,Yeti and the Monk
154,Hotel Shreyas
155,Rubabdaar
156,Hakuna Matata
157,Reddy's Restaurant
158,Guru Sawants's Malwan Katta
159,Tawa Street
160,Village - The Soul of India
161,Jashn
162,Apache High Street
163,Farmaaish Lounge & Bar
164,Fish Curry Rice
165,Krave - Kitchen & Bar
166,Pide Turkish Cafe
167,Rajdhani
168,Raju Uncle's Chole Bhature
169,Bacharika- Rooftop Bar And Kitchen
170,Sujata Mastani
171,Italy Via Punjab
172,TNG - The Natty & Groovy
173,Portico - Sayaji Hotel
174,360 Degree - The Lounge
175,Desi Dhaba
176,The K Factory
177,Playboy Beer Garden
178,Turque - Sayaji Hotel
179,Murphies
180,Onesta
181,Cafe Kathaa
182,Rangla Punjab
183,Abhishek Veg Restaurant
184,Sentosa MultiCuisine Restaurant
185,Dhaba Estd 1986 Delhi
186,Mapro Garden
187,Frozen Monkey
188,Coriander Kitchen - Conrad Pune
189,Backstage
190,Huber & Holly
191,Vice Versa
192,The Daily All Day
193,Mocha
194,Starbucks Coffee
195,Pakwan - The Food Tradition
196,Beto's
197,Tiranga Bhuvan Kothrud
198,Thalasso
199,Pune Baking Company - JW Marriott Pune
200,Pizza Hut
201,CAFE PETER
202,Karolbaug The Dhaba
203,The Kinara Village Dhaba
204,1000 Oaks
205,Botanica The Green House Bar
206,Savya Rasa
207,Shriniwas Veg
208,The Burger Barn Cafe
209,Shahi Bhoj Thali Restaurant
210,Shahi Bhoj Thali Restaurant
211,Pub Le City
212,The Tasty Tiffin
213,Copa Cabana
214,द Vege टेबल
215,Pink Turbann
216,Falahaar
217,Parsi Dhaba
218,Vernekar's Goan Fish Curry
219,Lager Street - Lounge and Bar
220,Mineority By Saby
221,George Restaurant
222,Citrus Cafe - Lemon Tree Hotel
223,Over The Top - Radisson Blu
224,Chini Chor
225,Fish On Dish
226,Flute
227,Raaga Imperio
228,Hoppipola
229,Chianti
230,Ram Krishna
231,Shisha Jazz Cafe
232,UFO Fries & Corn
233,Garden Vada Pav Centre
234,Masaledar Biryani House
235,Zinq- The Club Lounge
236,The Chocolate Room
237,YOLO Gastro Lounge
238,Upsouth
239,Mealstory
240,Latitude - Blue Diamond
241,Hotel Sangrilla
242,Zeta - Hyatt Regency Pune
243,Cold Stone Creamery
244,The Fish Thali
245,TiffinGeek
246,Cream Craver
247,Natural Ice Cream
248,D Palace
249,New Sarovar
250,Maratha Samrat
251,Drinx Exchange
252,Indian Curry
253,Pune Bowl Company
254,Cake N Cafe
255,Shakahari - JW Marriott Pune
256,7th Heaven Cake Shop
257,Swig
258,Paprikaa
259,Cafe Farmaish
260,Pergola Kitchen And Bar
261,The Bar Stock Exchange
262,Levit 8
263,Arbour Kitchen | Drinks
264,Garden Of Edesia
265,Shizusan
266,Mojo Pizza- 2X Toppings
267,Prem's
268,Ya Basa-The Dhaba
269,Prem's
270,The House Of Medici - The Westin
271,Lollapalooza
272,Between Breads
273,Lassi Wassi
274,Trikaya
275,Brgrmeister
276,Mamagoto
277,Tim Luck Luck
278,Maskawala & Co.
279,Ovenstory Pizza
280,Momo's Corrner
281,Evviva Sky Lounge - Crowne Plaza Pune City Centre
282,Wadeshwar
283,MoMo Cafe - Courtyard By Marriott Pune Hinjawadi
284,Asia Kitchen By Mainland China
285,Mulukh
286,Joshi Upahar Gruh
287,WYNKK
288,Best Belgian Waffle
289,Chaitanya Paranthas
290,Oblique Kitchen
291,Marrakesh
292,Yolkshire
293,"Incognito - Restaurant, Bar & Cafe"
294,The 1st Brewhouse - The Corinthians
295,Kinki
296,Jashn E Punjab
297,Taaareef
298,Supreme Corner
299,Hungraze
300,King Burger House
301,Biryani by KG
302,Malgudi Station
303,Royal Kitchen
304,Tea Villa Cafe
305,Mazdana Restaurant & Bar
306,Midnight Kakery
307,The Momo Panda
308,Kanha Veg
309,Lotus Court Family Resto Bar
310,Shabree Restaurant
311,Urban Tadka
312,Henny's Gourmet
313,Bay Leaf Bistro
314,Raasta Cafe
315,Levit 8
316,Apna Punjab
317,Chopsticks Spice Malabar
318,The Egg Break
319,Fresh Bake
320,PNF Restaurant & Bar
321,Spoonbell
322,Largo Pizzeria
323,The Cloud Kitchen
324,RocoMamas
325,Rolleat
326,Vishnuji Ki Rasoi
327,Brunch Biryani
328,Chinese Factory
329,Shree Sai Pure Veg
330,Area 51
331,Alto Vino - JW Marriott Pune
332,Chang's
333,KFC
334,Taaareef
335,Smaaash
336,Chafa Cafe and Studio
337,Jyoti Pure Veg
338,Te Amo
339,The Ganache
340,Shrinidhi's Hyderabadi Spice
341,Kasturi Mastani House
342,Qabil-E-Tareef
343,The Fort Bar & Kitchen
344,Kurtosshhh
345,Aamhi Pohekar
346,World Of Cheese Pizza
347,Madinah Restaurant
348,Sandwich Express
349,Swiss Bakes
350,Bird Valley
351,Late Lateef
352,Piccadilly Cafe
353,Sheetal Restaurant
354,Playboy Beer Garden
355,Athens - The Rooftop Lounge
356,Cafe Goa
357,Aaoji Khhaoji
358,Local Gastro Bar
359,Local Gastro Bar
360,Origin Bistro
361,Dhaba Shaba Veg Bistro
362,Kulcha Singh
363,Tea Trails Cafe
364,Kata Kirr
365,Cafe Deja Vu
366,Kimchi
367,Ooolala: All Day Cafe & Bar
368,L'Apicio
369,Classic Rock Cafe & Comedy
370,Rude Lounge
371,Bantoos
372,Ostro Multi Cuisine Restaurant
373,Ecstasy Bar And Eatery
374,Bhadait Misal
375,Diet_Food_Factory
376,Paratha King
377,Shanghai One
378,S Kumar Wadewale
379,Pune 12
380,TRP - The Rooftop Project
381,Gourmet Union - World Cuisine and Bar
382,Cafe Hours Food & Bookstore Cafe
383,The Great Kabab Factory - Radisson Blu Hotel
384,Farmaaish
385,The IT City Bar-B-Q
386,Senses - Marriott Suites Pune
387,La Sicilia Bistro & Patisserie
388,Aira Restaurant
389,Kadar Khan's Sheesha
390,7th Heaven
391,Hotel Vijay- The Taste Of Tamil Nadu
392,Hardyz
393,Chinese Adda
394,Ratri Yatri
395,Chef Shanghai
396,Hidden Place - The Hangout
397,Bhairavee Pure Veg Restaurant
398,La Pizzeria
399,Chitale Bandhu Mithaiwale
400,The Churro Co.
401,Supreme Sandwich Corner
402,Waffle World
403,Yumma Swami
404,Coffee Nation
405,KSL Exprs
406,KGN Xprs
407,Mr Rabbit's Bar & Burrow
408,KSL Biryani House
409,Hotel Al Zaika
410,Biryani House
411,Arthur's Theme
412,Post 91 - Infinity Rooftop Restaurant
413,R Bhagat Tarrachand
414,The Crunch Affair
415,LKD | La Kheer Deli
416,Olive Wheat Grape
417,Kopasa The Taste Restaurant
418,95 Pasta N Pizza
419,Pizzaronee
420,Deewan Khana
421,Feast - Sheraton Grand
422,The Cafè - Hyatt Regency Pune
423,A Taste Of Indore
424,Focravia
425,D'nozzo Chinese Food Hub
426,Punjabi Chilly
427,Miya Bhai
428,A Taste Of Indore - Fun Food
429,Zura Sizzler Kitchen
430,Swarnaa Vegetarian
431,The Poona Project by PizzaExpress
432,Cafe 24
433,Five Fat Monks
434,Three Kitchens Restaurant And Bar
435,Cafe Samosa Corner
436,Naayab
437,Sai Kok-pa Chinese
438,Crème Della
439,Sambar Pure Veg
440,Urban Mélange
441,Hotel Kaveri
442,Punjab Canteen
443,Sabores European Bistro
444,Addah - The O Hotel
445,The Sea Secret
446,Akss - India Reimagined
447,Crazy Sizzlers
448,Shawarma King
449,Poona Guest House
450,Daisy Dozen by AK
451,Zeera - Conrad Pune
452,Chawadi Restaurant
453,Sarjaa
454,Bedekar Tea Stall
455,Kothrud Katta
456,Third Wave Coffee Roasters
457,Kolhapuri Katta
458,Shahji's Parantha House
459,Kafe Fusion
460,Eagle Boys Pizzeria & Cafe
461,Kathputli - The Drunken Puppet
462,Buon Cibo- The Italian Cafe
463,La Gustosa
464,Baker's Wave
465,South House
466,Salad Grills
467,Reddy's Biryani Zone
468,Wada Culture
469,Kwality Foods
470,Where Else Diner
471,Love & Latte
472,Kabablo
473,Filli Bites
474,Ek No. Foodies
475,Community Cafe
476,The Cliff
477,Wood Fire Grill
478,Horn OK Please
479,11 East Street Cafe
480,Nine Square
481,Nirvighnam
482,The Havelii
483,Amritsari Kulcha Point
484,The Coriander Leaf
485,Le Flamington
486,Bar Stories
487,Savali
488,KP SQUAR
489,Cakeman
490,Chatori Galliyan
491,Cake Dior
492,Shaam-E-Awadh
493,The Place - Touche The Sizzler
494,FC Grill House
495,Good News Dhaba
496,Khandeshi Swad
497,Chizzlers
498,Flax
499,The Urban Kitchen
500,Nashaa
501,Savera Meals
502,Kalinga Veg Gourmet Kitchen
503,KarolBaug- Dawat-e-Mehfil
504,PBF | Pizzas Burgers & Fries
505,Genuine Broaster Chicken
506,Godavari Snacks
507,Sports Bar
508,Raqabdaars
509,Hotel Silver Seven
510,Rose Wood
511,Uncle's Chinese
512,Hotel Reddy
513,Carmine  Radisson Blu Hotel
514,Curry's
515,18 Hrs
516,Hotel Shivendra
517,Hotel Chinese Chef
518,FatCook
519,Hotel Kaveri
520,Thali & Co.
521,Fresh Off The Boat
522,RollsKing
523,Rainforest Resto Bar
524,Flying Duck Co.
525,The Blue Plate
526,Andaground
527,Coco - Sushi & Bar
528,The Flour Works
529,Tien
530,The Saucy Side
531,Urban Rolls
532,Signature Fine Dining
533,Rollsta
534,Purnabramha
535,Nevale Misal
536,PK Burger & Kabab Point
537,Copa Villa
538,Ambrosios
539,Millies Cookies
540,Mandarin Oak
541,Prathik Biryani House
542,The Curious Restro Lounge
543,Sorriso- Marriott Suites Pune
544,J1-जेवण
545,Wings & Co
546,The Poppa Cafe
547,Awesome Roll's
548,Zayka
549,Charcoal Eats
550,Pecos R.E.D
551,Downtown China
552,Panchami Pure Veg
553,Bagban Restaurant
554,Raju Misal House
555,The Good Bowl
556,Punjabi TREAT
557,Manali-Family Resto Bar
558,Hotel Chul Mutton
559,Biryanibad
560,Magnum Opus
561,Brain Freeze Ice Cream & Desserts
562,Orion
563,China Grill
564,Sassy Teaspoon
565,Parantha Junction
566,Nimrah Biryani House
567,Sweet Mantra
568,Kok Pa Chinese
569,Cafe Apo
570,Sweet Mantra
571,Biryani B-Box
572,Anokha Swaad
573,Multi Spice
574,Brahma Pure Veg
575,Son Of A Bun
576,Akhtar’s Samosa
577,Ratna Veg Cuisine
578,The Clover Bar And Kitchen
579,Flavours of Hyderabad
580,Jaiwal's Cafe and Chinese
581,Kalika Dairy & Sweets
582,Reddy's Alpha Biryani Point
583,Shortcuts - Quick Meals On The Go
584,Maharaja wada
585,Baan Tao - Hyatt Pune
586,Déjà Vu Bistro
587,Beetroot Bistro
588,Poona Food Truck
589,Caffe Ritazza
590,Masti Misal
591,Taste Of Punjab
592,Gaarva Biryani
593,MasalaBar
594,Waffle Bites
595,Koshur Pakwaan
596,Buns & Rolls
597,EDGE Bar & Lounge
598,Masala World
599,The Jalebi Point
600,Engineers Katta
601,Desi Aroma
602,MH 12 PAV BHAJI
603,Chick N Serve
604,Relax Pure Veg
605,Taco Bell
606,eSSSetrra
607,Platinum King Chinese Restaurant
608,Chingari - Sheraton Grand
609,Cream Stone
610,Vegeta - The Global Rasoi
611,Chapter Seven Skybar & Kitchen
612,Lord Of The Drinks
613,Burgers Inn
614,Burgers Inn
615,Cafe Deja Vu
616,Baked & Wired Pizzeria
617,Yollops
618,Aloha - The Tiki Bar
619,Yin Yang
620,Swag
621,1441 Pizzeria
622,HOPP-House Of Pavs & Pakodas
623,Hotel Asha
624,China Town
625,Reddy's Restaurant
626,Oye Kiddan
627,Sentosa Highway
628,Chokhi Dhani
629,Khasbag Misal
630,Diamond Bakery
631,The Döner Company
632,Global Punjab
633,Nation 52
634,Behrouz Biryani
635,Mansoor Wadapav & Snack Centre
636,Biryani Boxx
637,Cafe 1730
638,Forennte
639,Billy's BrewStirs
640,Kwality Family Resto
641,The Quick Wok
642,Paratha King
643,Cake Bake
644,Mona Food
645,The Rolls Affair
646,Cafe Roberto
647,Bhairavi
648,Blossom - The Fusion Spot
649,Oak Lounge - Marriott Suites Pune
650,Masa Masa Seafood Kitchen
651,Kimling
652,We Idliwale
653,Hot Momo's And Burger
654,B Dazzld
655,Angreji Burgers And Pizza
656,MomNom
657,Open Window Cafe Bistro
658,Dorabjee & Sons
659,Tahelka
660,Way Down South Restaurant
661,Food@u
662,Eat Repeattt
663,Café Delhi Heights
664,Tamil Nadu Restaurant
665,Hotel Maharaja
666,The Belgian Waffle Co.
667,Teri Rajput
668,Rahul Restaurant & Bar
669,The Veenu's Indori Chaska
670,Modern Cakes
671,Laziz Rolls
672,The Green Plate
673,Hari Om Juice Bar
674,Masala Art
675,Burger 11
676,Bebe Di Rasoi
677,Mughal's Zaika
678,Flavours Street
679,Gokul Pure Veg
680,Squisito
681,Abejo
682,Lonavla Restaurant & Bar- Hotel Lonavla
683,स्पेस Bar
684,Merazo
685,BOX8- Desi Meals
686,B Box
687,Laziz Pizza
688,Central Cafe - Shawarma and Burgers
689,Ninja Chef
690,Sambar Pure Veg
691,P18
692,96 K
693,Slounge - Lemon Tree Hotel
694,Citrine Tea Lounge - Radisson Blu Hotel
695,Kaka Halwai
696,Winterbite
697,Soul Handi
698,Taste Of Hyderabad
699,Flavours Street
700,Ambika Restaurant
701,Fabcafe
702,Vidarbha Zatka Hotel
703,Tikha Punjab
704,Vidarbha Zatka Hotel
705,Kinara's Maratha Darbar
706,Terttulia Bistro
707,Tikha Punjab
708,Mantraz Chinese & Biryani House
709,The Northern Frontier
710,What's Your Scene
711,Swades Veg-Non Veg
712,Popeye Sandwich N Burger
713,Asia Seven
714,Mr Wada Pav
715,Chulbul Dhaba
716,Govind Garden
717,The Burger House
718,Baker's Hut
719,Bamboo House
720,Burger Singh
721,Coconut Tree Bar & Kitchen By Coconut Grove
722,Sainath Khanaval
723,TAKHT - The Rooftop Lounge
724,Kafgir By Roghandaaz
725,Domino's Pizza
726,Neo Wood Ambassador
727,Polar Bear
728,Paddy's Cafe
729,Vintage 7
730,Rollfie
731,British Brewing Company
732,Copper Chimney
733,Hotel Sukanta
734,ALLEPPEES® Kerala Restaurant
735,The Green Roof
736,Amritsari
737,The Souvlaki Guys
738,Kulkarni Dosa Point
739,Dosa Stori
740,Green Ways
741,Mumbai Biryani House
742,Charcoal Delight
743,SnackEat
744,The Greedy Man Pizzeria & Bar
745,Hotel Vrindavan
746,Shiv Paratha With Maya
747,Polka Dots
748,Wild Sugar Patisserie & Cafe
749,Delhi Kitchen
750,Cafe Colombia
751,Thoko Thali
752,Biryani By Kilo
753,Mirch Masala Resto Bar
754,Mad Over Donuts
755,KGN Xprs
756,Ramdev Dhaba Pure Veg Family Restaurants
757,Kanji
758,Indian Barbecue & Grill
759,Purple X
