,user_id,index,loc,sponsor,votes,rating,charge,cuisine,alcohol,veg,vegan,sugarfree,buff
13365,0,11327,Koregaon Park,Delivery,0,0.0,0,North Indian,0,0,0,0,0
16219,0,1970,Sinhgad Road,Casual Dining,91,2.8,550,"North Indian, South Indian, Chinese",0,1,0,0,0
13486,0,8859,Bibvewadi,Quick Bites,7,3.1,150,Street Food,0,0,0,0,0
2644,0,647,Wakad,Casual Dining,87,4.1,650,Maharashtrian,0,0,0,0,0
3699,0,3487,Kothrud,"Casual Dining, Bar",263,3.7,1000,"North Indian, Chinese",0,0,0,0,0
6612,0,3909,Bhosari,Casual Dining,0,0.0,600,"North Indian, Chinese, Biryani",0,0,0,0,0
11651,0,4619,Hinjawadi,Quick Bites,57,3.5,100,Street Food,0,0,0,0,0
7179,0,7081,Pimpri,Quick Bites,4,2.9,400,"North Indian, Maharashtrian, Chinese",0,0,0,0,0
12654,0,5250,Baner,Casual Dining,17,3.5,1000,"North Indian, Chinese, Thai",0,0,0,0,0
3724,0,10540,Vishrantwadi,Quick Bites,8,3.2,300,Chinese,0,0,0,0,0
4040,0,8180,Hadapsar,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
13468,0,2658,Kharadi,Bakery,70,3.8,350,"Bakery, Desserts",0,1,0,0,0
10148,0,4764,Wagholi,Casual Dining,23,2.9,500,"North Indian, Maharashtrian",0,0,0,0,0
13961,0,7038,Viman Nagar,Delivery,0,0.0,0,Chinese,0,0,0,0,0
14963,0,7214,Lohegaon,Quick Bites,18,3.4,300,Fast Food,0,0,0,0,0
3739,0,3267,Pimpri,Delivery,75,3.1,0,"North Indian, Maharashtrian",0,0,0,0,0
19204,0,6045,Wagholi,"Bar, Casual Dining",0,0.0,1200,"North Indian, Chinese, Malwani",0,0,0,0,0
1512,0,10047,Balewadi,Quick Bites,6,3.1,350,Biryani,0,0,0,0,0
1525,0,505,Baner,Casual Dining,652,4.0,1100,"North Indian, Fast Food, Chinese, Burger, Pizza, Beverages",0,0,0,0,0
3081,0,9732,Pashan,Takeaway,0,0.0,0,"Biryani, Maharashtrian",0,0,0,0,0
4014,0,1944,Sinhgad Road,Quick Bites,0,0.0,300,"North Indian, Chinese",0,0,0,0,0
3756,0,12012,Lonavala,Casual Dining,14,2.5,600,"North Indian, Chinese",0,0,0,0,0
9341,0,3372,Pune-Solapur Road,Casual Dining,8,3.1,500,"Chinese, North Indian",0,0,0,0,0
18202,0,1421,Wakad,Casual Dining,228,3.8,600,"North Indian, South Indian",0,1,0,0,0
11643,0,4917,Baner,Quick Bites,30,2.9,300,Healthy Food,0,0,0,0,0
15602,0,1286,Viman Nagar,Casual Dining,563,3.7,650,"North Indian, Mughlai",0,0,0,0,0
17926,0,6876,Wagholi,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
6519,0,11940,Warje,Quick Bites,4,2.9,300,Chinese,0,0,0,0,0
2289,0,2010,Kharadi,Quick Bites,0,0.0,350,"South Indian, North Indian, Chinese",0,0,0,0,0
16307,0,3680,Baner,Quick Bites,43,3.3,300,Maharashtrian,0,1,0,0,0
14896,0,2405,KP and Kalyani,Delivery,18,4.0,0,"Asian, Chinese, Thai",0,0,0,0,0
12388,0,10184,Hadapsar,Dhaba,0,0.0,300,North Indian,0,0,0,0,0
5392,0,5556,Wadgaon Sheri,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
1362,0,10967,Hinjawadi,Quick Bites,0,0.0,250,"North Indian, Fast Food",0,1,0,0,0
10732,0,2890,Nigdi,"Takeaway, Delivery",95,4.0,0,"Biryani, North Indian",0,0,0,0,0
5370,0,3808,Kondhwa,Quick Bites,35,3.4,800,"North Indian, Chinese, Mughlai",0,0,0,0,0
17893,0,6481,Viman Nagar,Quick Bites,38,2.8,400,"Biryani, Mughlai",0,0,0,0,0
13452,0,5795,Wadgaon Sheri,Quick Bites,0,0.0,200,Chinese,0,0,0,0,0
10129,0,718,Nigdi,"Bakery, Dessert Parlor",387,4.4,300,"Bakery, Desserts, Fast Food",0,0,0,0,0
13790,0,9871,Kothrud,Quick Bites,0,0.0,100,"South Indian, Beverages",0,1,0,0,0
16383,0,11395,Kothrud,Quick Bites,7,3.0,350,"Rolls, Chinese, Fast Food, South Indian",0,0,0,0,0
16121,0,4971,Kharadi,Quick Bites,28,3.5,300,"Street Food, Maharashtrian, Tea",0,1,0,0,0
18153,0,8671,Shaniwar Peth,Quick Bites,12,3.4,150,Street Food,0,1,0,0,0
8933,0,9671,Kharadi,"Takeaway, Delivery",0,0.0,0,"North Indian, Street Food",0,0,0,0,0
6573,0,8959,Pimpri,Beverage Shop,64,3.5,150,"Beverages, Fast Food",0,0,0,0,0
17894,0,847,Akurdi,Casual Dining,262,3.6,550,"North Indian, Chinese, Street Food, Fast Food",0,0,0,0,0
8255,0,2997,Rasta Peth,Bakery,48,3.8,200,Bakery,0,0,0,0,0
6580,0,10274,Kharadi,"Takeaway, Delivery",0,0.0,0,Rolls,0,0,0,0,0
19508,0,8357,Lohegaon,Casual Dining,0,0.0,500,"North Indian, Maharashtrian, Chinese",0,0,0,0,0
8243,0,4281,Erandwane,Quick Bites,86,3.3,600,"North Indian, Chinese, Mughlai, Mangalorean, Kebab",0,0,0,0,0
1299,0,8962,Balewadi,Quick Bites,5,3.1,150,Fast Food,0,0,0,0,0
11313,0,3844,Viman Nagar,"Casual Dining, Bar",198,3.7,1200,"Mughlai, North Indian, Seafood, Chinese",0,0,0,0,0
1554,0,6298,Hadapsar,Quick Bites,14,3.2,200,Fast Food,0,1,0,0,0
12016,0,1032,Kothrud,"Bar, Casual Dining",276,4.2,1500,"Finger Food, North Indian, Continental, Salad, Italian",0,0,0,0,0
17041,0,10606,Magarpatta,Quick Bites,6,3.1,250,Chinese,0,0,0,0,0
2503,0,5128,Dhankawadi,Dessert Parlor,25,3.6,250,Ice Cream,0,1,0,0,0
7051,0,129,Senapati Bapat Road,"Casual Dining, Bar",3848,4.3,1500,"Italian, Continental, Salad, Bar Food",0,1,0,0,0
19475,0,708,Karve Nagar,Delivery,0,0.0,0,"North Indian, Chinese, Fast Food",0,0,0,0,0
17625,0,5434,Bhosari,"Quick Bites, Dessert Parlor",0,0.0,500,"Desserts, Fast Food, Beverages",0,0,0,0,0
6722,0,3125,Nigdi,Quick Bites,43,3.5,300,Chinese,0,0,0,0,0
15469,0,9683,Kharadi,"Takeaway, Delivery",0,0.0,0,"Biryani, Kebab",0,0,0,0,0
3868,0,3545,Hinjawadi,Quick Bites,0,0.0,400,North Indian,0,0,0,0,0
4876,0,10451,Aundh,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
4935,0,8542,Wadgaon Sheri,Casual Dining,4,3.0,600,"North Indian, Chinese, Maharashtrian",0,0,0,0,0
231,0,6955,Kothrud,Quick Bites,0,0.0,250,"Fast Food, Rolls, Beverages",0,0,0,0,0
15460,0,10888,Kothrud,Quick Bites,0,0.0,150,South Indian,0,0,0,0,0
4859,0,5791,Bibvewadi,"Takeaway, Delivery",29,3.7,0,"Salad, Healthy Food",0,0,0,0,0
17628,0,9637,Sinhgad Road,Casual Dining,36,3.9,750,"North Indian, Maharashtrian, Chinese, Fast Food, Beverages",0,0,0,0,0
10824,0,2861,Kondhwa,Café,58,3.8,250,Cafe,0,1,0,0,0
11584,0,7599,Yerawada,Quick Bites,0,0.0,400,Fast Food,0,0,0,0,0
14187,0,3912,Sinhgad Road,Quick Bites,0,0.0,200,Street Food,0,0,0,0,0
18512,0,11346,Pimple Gurav,Quick Bites,19,2.9,300,"Biryani, North Indian",0,0,0,0,0
4747,0,8882,Aundh,"Takeaway, Delivery",31,2.9,0,"North Indian, Chinese",0,0,0,0,0
18514,0,8354,Viman Nagar,Quick Bites,6,2.9,300,"North Indian, Chinese",0,0,0,0,0
8466,0,1375,Senapati Bapat Road,Food Court,242,3.9,500,"Biryani, Mughlai",0,0,0,0,0
12383,0,5403,Magarpatta,Casual Dining,195,3.4,500,"North Indian, Fast Food, Beverages, Juices",0,1,0,0,0
19457,0,10390,Hadapsar,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
9694,0,11310,Chakan,"Casual Dining, Bar",11,3.2,600,North Indian,0,0,0,0,0
3813,0,4413,Viman Nagar,Quick Bites,17,3.4,500,"North Indian, Chinese",0,0,0,0,0
1555,0,5115,Wadgaon Sheri,"Takeaway, Delivery",16,3.4,0,North Indian,0,0,0,0,0
4726,0,5453,Dhole Patil Road,Casual Dining,25,3.6,600,"North Indian, Chinese",0,0,0,0,0
19662,0,2926,Lohegaon,Quick Bites,0,0.0,300,"North Indian, Maharashtrian",0,0,0,0,0
10772,0,712,Viman Nagar,"Takeaway, Delivery",0,0.0,0,"Sandwich, Fast Food",0,0,0,0,0
1571,0,10042,Bhosari,Quick Bites,0,0.0,200,Chinese,0,0,0,0,0
16917,0,2735,Narhe,Quick Bites,0,0.0,250,Biryani,0,0,0,0,0
18889,0,3050,Wakad,"Takeaway, Delivery",0,0.0,0,Biryani,0,0,0,0,0
19967,0,9744,Talegaon,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9355,0,433,Baner,Casual Dining,614,4.2,1000,Asian,0,0,0,0,0
18893,0,486,Pimpri,Bar,921,4.2,1300,"Finger Food, Momos, Chinese, Pizza",0,0,0,0,0
13612,0,11044,Pimple Nilakh,Casual Dining,6,3.0,750,"Biryani, Andhra, North Indian, Mithai",0,0,0,0,0
8357,0,4931,Wakad,Paan Shop,0,0.0,100,Paan,0,0,0,0,0
8359,0,3382,Camp Area,Delivery,0,0.0,0,"Biryani, Kebab",0,0,0,0,0
3794,0,10531,NIBM Road,Quick Bites,0,0.0,300,"Chinese, North Indian",0,0,0,0,0
1614,0,10701,Bhosari,Bakery,0,0.0,200,Bakery,0,0,0,0,0
2546,0,12187,Kothrud,"Casual Dining, Bar",0,0.0,1200,"North Indian, Fast Food, Continental",0,0,0,0,0
5022,0,7780,Wanowrie,Quick Bites,9,3.2,600,"North Indian, Fast Food, Biryani, Seafood",0,0,0,0,0
17059,0,10168,Pimpri,Quick Bites,4,3.0,300,Street Food,0,0,0,0,0
15404,0,8994,Chinchwad,Quick Bites,5,3.0,150,Fast Food,0,1,0,0,0
9717,0,9474,Wadgaon Sheri,Delivery,0,0.0,0,"Healthy Food, Fast Food",0,0,0,0,0
13607,0,9052,Mulshi Road,Casual Dining,0,0.0,800,"Chinese, North Indian, Fast Food, Mughlai",0,0,0,0,0
11331,0,4940,Wadgaon Sheri,Dessert Parlor,14,3.2,250,"Ice Cream, Beverages",0,0,0,0,0
7494,0,10802,Kondhwa,Delivery,0,0.0,0,"Chinese, South Indian, North Indian",0,0,0,0,0
9845,0,2433,Sadashiv Peth,Food Court,5,3.4,200,"Fast Food, South Indian, Street Food",0,1,0,0,0
429,0,8964,Pimple Gurav,Quick Bites,11,3.4,400,"Fast Food, Desserts",0,0,0,0,0
15348,0,1998,Baner,Quick Bites,39,3.4,400,"North Indian, Chinese, South Indian",0,0,0,0,0
13892,0,1755,Pashan,Quick Bites,6,3.2,200,Chinese,0,0,0,0,0
9196,0,3524,Sadashiv Peth,Quick Bites,38,3.7,150,Street Food,0,1,0,0,0
3278,0,2665,Chinchwad,Quick Bites,0,0.0,300,Chinese,0,1,0,0,0
13081,0,7307,Hinjawadi,Quick Bites,12,2.9,200,"Fast Food, Chinese",0,0,0,0,0
3289,0,11593,Kondhwa,Quick Bites,0,0.0,300,"Maharashtrian, North Indian",0,0,0,0,0
11811,0,11929,FC Road,Quick Bites,44,3.8,300,"Street Food, Chinese",0,0,0,0,0
5865,0,9598,Kothrud,Quick Bites,22,3.4,250,Biryani,0,0,0,0,0
14772,0,7499,SB Road - Aundh,Delivery,0,0.0,0,"Biryani, Kebab",0,0,0,0,0
11108,0,2818,Magarpatta,Quick Bites,4,3.1,200,"Fast Food, Beverages",0,0,0,0,0
4260,0,8428,Wagholi,Casual Dining,21,3.0,500,"North Indian, Mughlai, Biryani, Chinese",0,0,0,0,0
7553,0,8829,Pune-Solapur Road,Casual Dining,0,0.0,500,"North Indian, Mughlai",0,0,0,0,0
18046,0,11383,Khadki,Bar,0,0.0,400,Bar Food,0,1,0,0,0
14522,0,8126,Baner,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
11503,0,11625,NIBM Road,Quick Bites,73,3.4,600,"Mughlai, North Indian, Chinese",0,0,0,0,0
5806,0,3225,Kharadi,Dessert Parlor,15,3.3,150,Ice Cream,0,1,0,0,0
11504,0,10862,NIBM Road,Quick Bites,0,0.0,200,Street Food,0,0,0,0,0
9855,0,4878,Nigdi,"Bar, Casual Dining",53,3.2,700,"North Indian, Chinese, Seafood, Mughlai",0,0,0,0,0
12477,0,3749,Hinjawadi,Quick Bites,7,3.2,600,"North Indian, Chinese",0,1,0,0,0
14519,0,9012,Sinhgad Road,Quick Bites,9,3.2,300,"North Indian, Chinese, South Indian",0,0,0,0,0
1998,0,3928,Kothrud,Delivery,117,3.9,0,"Chinese, Thai, Cantonese, Indonesian, Korean",0,0,0,0,0
14511,0,6562,Bhosari,Casual Dining,4,3.0,1000,"North Indian, Chinese, Seafood",0,0,0,0,0
13071,0,9373,Bhosari,Casual Dining,41,3.4,600,"North Indian, Chinese",0,1,0,0,0
13833,0,9213,Kothrud Area,Delivery,91,3.6,0,Fast Food,0,0,0,0,0
17234,0,5657,Wakad,Quick Bites,8,3.1,150,North Indian,0,0,0,0,0
4279,0,9100,Sadashiv Peth,"Casual Dining, Bar",5,3.0,950,"North Indian, Chinese",0,0,0,0,0
19078,0,2146,Magarpatta,Food Court,11,3.3,400,Beverages,0,1,0,0,0
2,0,10535,Pashan,Quick Bites,4,3.0,450,"North Indian, Chinese",0,0,0,0,0
7859,0,10934,Sinhgad Road,Quick Bites,0,0.0,400,"Fast Food, North Indian",0,1,0,0,0
5,0,4658,Wagholi,Quick Bites,85,2.8,450,Biryani,0,0,0,0,0
19346,0,11297,Swargate,Casual Dining,0,0.0,800,"North Indian, Chinese, Italian",0,1,0,0,0
11165,0,6341,NIBM Road,Quick Bites,7,3.0,500,"Chinese, North Indian",0,0,0,0,0
4355,0,6557,Budhwar Peth,Quick Bites,36,3.5,450,"Street Food, Beverages",0,1,0,0,0
16723,0,5958,Wakad,Quick Bites,8,3.4,300,"Street Food, Maharashtrian, North Indian, South Indian",0,1,0,0,0
4386,0,7686,Narhe,Quick Bites,11,2.9,300,North Indian,0,1,0,0,0
6314,0,914,Dhankawadi,Delivery,20,3.5,0,"North Indian, Chinese",0,0,0,0,0
10569,0,11289,Wagholi,Quick Bites,0,0.0,700,North Indian,0,0,0,0,0
4399,0,10035,NIBM Road,Quick Bites,0,0.0,300,"Arabian, Beverages",0,0,0,0,0
13905,0,6304,Salunkhe Vihar Road,"Takeaway, Delivery",100,3.4,0,"North Indian, Chinese, Rolls, Kebab",0,0,0,0,0
11139,0,6047,Viman Nagar,"Takeaway, Delivery",6,3.2,0,North Indian,0,0,0,0,0
14709,0,1736,Wagholi,Quick Bites,95,3.5,400,"Chinese, North Indian",0,0,0,0,0
9543,0,1475,Viman Nagar,Quick Bites,0,0.0,350,"Pizza, Fast Food, Beverages",0,0,0,0,0
11196,0,2779,Kharadi,Delivery,0,0.0,0,Rolls,0,0,0,0,0
7944,0,1673,Pimple Saudagar,Delivery,69,3.9,0,South Indian,0,0,0,0,0
19810,0,11169,Budhwar Peth,Delivery,4,3.0,0,Maharashtrian,0,0,0,0,0
9077,0,62,Mundhwa,"Bar, Pub",2401,4.2,1500,"Finger Food, Continental, Italian, North Indian, Mexican",0,0,0,0,0
