,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
0,Hinjawadi,Casual Dining,7029,4.9,1400,"Continental, North Indian, Chinese",0,0,0,0,1
1,Bhugaon,"Lounge, Casual Dining",2578,4.6,1500,"North Indian, Chinese, Continental, Kebab, Seafood",0,0,0,0,0
2,Senapati Bapat Road,Fine Dining,3291,4.6,2500,"North Indian, Kebab, Biryani",0,0,0,0,0
3,Hinjawadi,"Casual Dining, Bar",430,4.3,1400,"Asian, European, Modern Indian, Italian",0,0,0,0,0
4,Shivaji Nagar,"Bar, Casual Dining",2138,4.5,1500,"North Indian, Chinese, Biryani, American, Continental",0,0,0,0,0
5,Wakad,"Bar, Casual Dining",4731,4.6,1400,"Asian, Mediterranean, North Indian",0,0,0,0,1
6,Wakad,Casual Dining,2999,4.5,1700,"North Indian, Mughlai, Salad, Kebab, BBQ",0,0,0,0,1
7,Hinjawadi,"Pub, Casual Dining",1437,4.0,1400,"North Indian, Chinese, Continental",0,0,0,0,0
8,East Street,Bakery,2296,4.7,150,Bakery,0,0,0,0,0
9,Yerawada,Casual Dining,3758,4.2,1400,"North Indian, Chinese, Mediterranean, Continental",0,0,0,0,1
10,Bavdhan,"Bar, Casual Dining",370,4.6,1500,"North Indian, Mughlai, Biryani",0,0,0,0,0
11,Kalyani Nagar,Bar,948,4.6,1500,"Modern Indian, American, Italian",0,0,0,0,0
12,Bhugaon,"Bar, Casual Dining",280,4.2,1300,"Chinese, Continental, North Indian, Italian",0,0,0,0,0
13,Wakad,Casual Dining,3435,4.4,1000,"North Indian, BBQ",0,0,0,0,1
14,Narhe,Quick Bites,259,4.0,250,Street Food,0,1,0,0,0
15,Bund Garden Road,"Bar, Casual Dining",498,4.2,1800,"North Indian, Mediterranean, European, Finger Food",0,0,0,0,0
16,Viman Nagar,"Bar, Casual Dining",317,4.1,1500,"North Indian, Continental, Asian, Italian",0,0,0,0,0
17,Magarpatta,"Casual Dining, Bar",394,4.4,1700,"North Indian, Continental, Lebanese, Italian, Seafood, Asian",0,0,0,0,0
18,Deccan Gymkhana,Café,4665,4.7,1000,"European, Italian, Continental",0,0,0,0,0
19,Hadapsar,Casual Dining,78,3.7,1600,"North Indian, Chinese, Continental",0,0,0,0,0
20,Deccan Gymkhana,Casual Dining,3243,4.1,700,"Gujarati, North Indian, Maharashtrian",0,1,0,0,0
21,Hinjawadi,"Bar, Casual Dining",3006,4.4,1500,"North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ",0,0,0,0,1
22,Baner,"Bar, Casual Dining",382,4.4,1500,"North Indian, Continental, Finger Food",0,0,0,0,0
23,Wakad,"Bar, Casual Dining",1334,4.7,1700,"North Indian, Continental, Chinese",0,0,0,0,0
24,Hinjawadi,"Bar, Casual Dining",1983,4.0,1600,"Bar Food, Asian, North Indian, Italian",0,0,0,0,0
25,Viman Nagar,"Pub, Casual Dining",2938,4.0,1700,"North Indian, Continental, Chinese, Italian, Salad",0,0,0,0,0
26,Viman Nagar,Casual Dining,462,4.1,900,"Biryani, North Indian, Mughlai, Chinese",0,0,0,0,0
27,Sus,"Casual Dining, Bar",2871,4.4,1300,"North Indian, Chinese, Italian, Continental",0,0,0,0,1
28,Hinjawadi,"Bar, Casual Dining",3281,4.3,1500,"North Indian, Mughlai, Chinese",0,0,0,0,0
29,Senapati Bapat Road,Club,2039,4.3,2500,Finger Food,0,0,0,0,0
30,Hinjawadi,"Pub, Casual Dining",1941,4.0,2000,"North Indian, Italian, Chinese",0,0,0,0,0
31,Shivapur,Casual Dining,1057,4.4,600,"Maharashtrian, North Indian",0,0,0,0,0
32,Baner,"Bar, Casual Dining",3847,4.5,1500,"Bar Food, North Indian, Asian, Fast Food",0,0,0,0,0
33,Mundhwa,Casual Dining,0,0.0,1400,"North Indian, Continental, Italian",0,0,0,0,0
34,Hinjawadi,"Casual Dining, Bar",3189,4.5,1200,"BBQ, North Indian, Chinese",0,0,0,0,1
35,Bhugaon,"Bar, Casual Dining",1104,4.0,1300,"North Indian, Continental, Asian, Mughlai, Chinese",0,0,0,0,0
36,FC Road,Casual Dining,1112,4.2,550,Maharashtrian,0,0,0,0,1
37,Baner,"Lounge, Casual Dining",910,4.1,1700,"Italian, Continental, Chinese, Asian, North Indian",0,0,0,0,0
38,Senapati Bapat Road,Fine Dining,1737,4.4,2200,"Italian, Asian, North Indian, South Indian, European",0,0,0,0,1
39,Kothrud,"Casual Dining, Bar",1531,4.5,1500,"Continental, Asian, Italian, North Indian, Finger Food, Fast Food",0,0,0,0,0
40,Deccan Gymkhana,Quick Bites,7002,4.2,600,"North Indian, Mughlai, Malwani, Fast Food, Street Food",0,0,0,0,0
41,Koregaon Park,"Casual Dining, Café",4715,4.2,1100,"German, Italian, Cafe",0,0,0,0,1
