,Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
0,AB's - Absolute Barbecues,https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi,Hinjawadi,4.9,"Continental, North Indian, Chinese",1400
1,Cafe Co2 Resto Lounge,https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon,Bhugaon,4.6,"North Indian, Chinese, Continental, Kebab, Seafood",1500
2,Paasha - JW Marriott Pune,https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.6,"North Indian, Kebab, Biryani",2500
3,I Amsterdam,https://www.zomato.com/pune/i-amsterdam-hinjawadi,Hinjawadi,4.3,"Asian, European, Modern Indian, Italian",1400
4,FC Road Social,https://www.zomato.com/pune/fc-road-social-shivaji-nagar,Shivaji Nagar,4.5,"North Indian, Chinese, Biryani, American, Continental",1500
5,Flechazo,https://www.zomato.com/pune/flechazo-wakad,Wakad,4.6,"Asian, Mediterranean, North Indian",1400
6,Barbeque Nation - Sayaji Hotel,https://www.zomato.com/pune/barbeque-nation-sayaji-hotel-wakad,Wakad,4.5,"North Indian, Mughlai, Salad, Kebab, BBQ",1700
7,BeHive,https://www.zomato.com/pune/behive-hinjawadi,Hinjawadi,4.0,"North Indian, Chinese, Continental",1400
8,Kayani Bakery,https://www.zomato.com/pune/kayani-bakery-east-street,East Street,4.7,Bakery,150
9,Exotica,https://www.zomato.com/pune/exotica-yerawada,Yerawada,4.2,"North Indian, Chinese, Mediterranean, Continental",1400
10,Planet 9,https://www.zomato.com/pune/planet-9-bavdhan,Bavdhan,4.6,"North Indian, Mughlai, Biryani",1500
11,Toit,https://www.zomato.com/pune/toit-1-kalyani-nagar,Kalyani Nagar,4.6,"Modern Indian, American, Italian",1500
12,Smoky Beach,https://www.zomato.com/pune/smoky-beach-bhugaon,Bhugaon,4.2,"Chinese, Continental, North Indian, Italian",1300
13,Barbeque Ville,https://www.zomato.com/pune/barbeque-ville-wakad,Wakad,4.4,"North Indian, BBQ",1000
14,Thorat's Baarbeque Misal,https://www.zomato.com/pune/thorats-baarbeque-misal-narhe,Narhe,4.0,Street Food,250
15,2BHK Diner & Key Club,https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden,Bund Garden Road,4.2,"North Indian, Mediterranean, European, Finger Food",1800
16,The Mafia,https://www.zomato.com/pune/the-mafia-viman-nagar,Viman Nagar,4.1,"North Indian, Continental, Asian, Italian",1500
17,The Cult - Terra,https://www.zomato.com/pune/the-cult-terra-magarpatta,Magarpatta,4.4,"North Indian, Continental, Lebanese, Italian, Seafood, Asian",1700
18,Le Plaisir,https://www.zomato.com/pune/le-plaisir-deccan-gymkhana,Deccan Gymkhana,4.7,"European, Italian, Continental",1000
19,Teritree,https://www.zomato.com/pune/teritree-hadapsar,Hadapsar,3.7,"North Indian, Chinese, Continental",1600
20,Sukanta,https://www.zomato.com/pune/sukanta-deccan-gymkhana,Deccan Gymkhana,4.1,"Gujarati, North Indian, Maharashtrian",700
21,Tarsh Gastronomia,https://www.zomato.com/pune/tarsh-gastronomia-hinjawadi,Hinjawadi,4.4,"North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ",1500
22,TTF - The Tenth Floor,https://www.zomato.com/pune/ttf-the-tenth-floor-baner,Baner,4.4,"North Indian, Continental, Finger Food",1500
23,The Barkhana,https://www.zomato.com/pune/the-barkhana-wakad,Wakad,4.7,"North Indian, Continental, Chinese",1700
24,Publiq,https://www.zomato.com/pune/publiq-hinjawadi,Hinjawadi,4.0,"Bar Food, Asian, North Indian, Italian",1600
25,Atmosphere 6,https://www.zomato.com/pune/atmosphere-6-viman-nagar,Viman Nagar,4.0,"North Indian, Continental, Chinese, Italian, Salad",1700
26,Aroma's Hyderabad House,https://www.zomato.com/pune/aromas-hyderabad-house-viman-nagar,Viman Nagar,4.1,"Biryani, North Indian, Mughlai, Chinese",900
27,The Ruby Hilltop - Sunny's World,https://www.zomato.com/pune/the-ruby-hilltop-sunnys-world-sus,Sus,4.4,"North Indian, Chinese, Italian, Continental",1300
28,The FML Lounge,https://www.zomato.com/pune/the-fml-lounge-hinjawadi,Hinjawadi,4.3,"North Indian, Mughlai, Chinese",1500
29,Mi-a-Mi - JW Marriott Pune,https://www.zomato.com/pune/mi-a-mi-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.3,Finger Food,2500
30,Spice Factory,https://www.zomato.com/pune/spice-factory-hinjawadi,Hinjawadi,4.0,"North Indian, Italian, Chinese",2000
31,Hotel Jagdamba,https://www.zomato.com/pune/hotel-jagdamba-shivapur,Shivapur,4.4,"Maharashtrian, North Indian",600
32,The Urban Foundry,https://www.zomato.com/pune/the-urban-foundry-baner,Baner,4.5,"Bar Food, North Indian, Asian, Fast Food",1500
33,The Secret Garden,https://www.zomato.com/pune/the-secret-garden-mundhwa,Mundhwa,0.0,"North Indian, Continental, Italian",1400
34,Universal Barbeque,https://www.zomato.com/pune/universal-barbeque-hinjawadi,Hinjawadi,4.5,"BBQ, North Indian, Chinese",1200
35,Smoke On The Water,https://www.zomato.com/pune/smoke-on-the-water-bhugaon,Bhugaon,4.0,"North Indian, Continental, Asian, Mughlai, Chinese",1300
36,Surve's Pure Non-Veg,https://www.zomato.com/pune/surves-pure-non-veg-fc-road,FC Road,4.2,Maharashtrian,550
37,Urbo,https://www.zomato.com/pune/urbo-baner,Baner,4.1,"Italian, Continental, Chinese, Asian, North Indian",1700
38,Spice Kitchen - JW Marriott Pune,https://www.zomato.com/pune/spice-kitchen-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,4.4,"Italian, Asian, North Indian, South Indian, European",2200
39,Barometer,https://www.zomato.com/pune/barometer-kothrud,Kothrud,4.5,"Continental, Asian, Italian, North Indian, Finger Food, Fast Food",1500
40,Cafe Goodluck,https://www.zomato.com/pune/cafe-goodluck-deccan-gymkhana,Deccan Gymkhana,4.2,"North Indian, Mughlai, Malwani, Fast Food, Street Food",600
41,German Bakery,https://www.zomato.com/pune/german-bakery-koregaon-park,Koregaon Park,4.2,"German, Italian, Cafe",1100
42,Pimlico,https://www.zomato.com/pune/pimlico-koregaon-park,Koregaon Park,4.2,"Cafe, Continental, Italian",700
