rest_name,user_id,rating
Southern Spice,0,3
Cafe Little Eggs,0,4
Indori Sarafa,0,3
Hotel Aamantran,0,4
Hotel Satkar,0,2
Hotel Kolhapuri,0,0
Hooked,0,5
Chulangan Restaurant,0,0
Bangalore Iyangar Bakery,0,5
Shree Datta Bhuvan,0,5
SPICE 24×7,0,2
Annapurna South & Chaat,0,3
Biryani Nawab,0,3
Pokket Cafe,0,4
Hotel Samarth,0,1
Tandoor Destination,0,3
Jay Ganesh Chaat,0,1
Golden Chinese Center,0,2
Datta Bhel,0,2
The East,0,1
Rolls Magic,0,5
A-1 Hyderabad Dum Biryani,0,4
Bombay Sandwich & Pizza,0,4
Hotel Jay Malhar,0,5
Chal Kuch Khaate,0,3
Makkhan Maar Ke,0,0
Shama Bhosle's Lazeez Biryani,0,3
Amrut Testy Paratha,0,1
Creative Food Catering,0,4
Momo Mania,0,4
Shree Lakshmi Narayan Snacks & Pavbhaji Center,0,5
Granny's Bowl,0,1
Ameya Snacks Centre,0,1
Flour Magic Bakery & Cafe,0,4
Marigold,0,5
Aapal Shiwar,0,2
SP's NonVeg,0,1
Hookah Lounge,0,5
P - Square by Sanghavi's Kitchen,0,0
Chowpati Snacks Center,0,0
Aaryaz Little China,0,3
Divine Dish,1,4
RJ's Hungry Kya,1,0
Tejas Dhaba,1,5
Food Lovers,1,1
Gaurav Snacks Center And Catering,1,3
Hotdog Burgers,1,1
Hotel Oasis,1,1
The Lunch Box,1,0
Kalje Misal House,1,1
Urban Maratha Cafe,1,0
A1 Express,1,2
BACKSTAGE,1,3
Satvik Thali Restaurant,1,0
Tavern - Fariyas Holiday Resort,1,5
Baithak,1,2
Chaitanya Hotel,1,2
Rudra Family Restaurant and Bar,1,3
The Cake Galaxy,1,3
Masala Dabar,1,3
Mungarwadiz Mirchi,1,5
Hotel Jay Bhavani,1,4
The Mocktail Den,1,2
Dive in Dine,1,5
Sai Shraddha Veg Non Veg,1,0
Rasoi,1,2
Nandu's Paratha,1,2
Cafe Foodie,1,5
Foodnation Chinese And Fast Food,1,2
New Pratik Biryani House,1,2
Hotel Krishna Lella,1,2
Hot Garlic,1,5
Salad Garden,1,4
Jagadamba Veg & Non-veg,1,2
Bismillah Caterers,1,4
Biryani Bowl,1,4
Street Foods by Punjab Grill,1,4
Kartiki Caterers,1,0
Billi's Food Corner,1,2
Shivrana Family Garden Restaurant,1,0
Cosset Cafe,1,5
Olive Kitchen,1,0
Pune 12,26,5
Cakesmith By Prabjot,1,2
Kedar,1,2
J M Cafe,1,1
Gulkand - The Family Paan Parlor,1,2
Mango Sweets,2,2
Pokket Cafe,2,4
Surya Restaurant,2,3
Gabroo Da Dhaba,2,2
Jay Ganesh Snacks,2,2
Mommy's Biryani Kitchen,2,2
My Cafe,2,5
Wakad Corner Family Restaurant,2,5
Just Bornn Chocolates & Fudge,2,1
RCK - The Lounge Bar,2,5
Gausiya Caterers,2,4
Udipi Refreshment,2,0
Pallavi Veg,2,4
The Szechuan Shack,2,3
Bhagirathi Hotel,2,0
The Hub - Hotel Ibis,2,1
Green Biryani House,2,4
Grilled,2,4
Black Spice,2,4
Shetkari Nonveg,2,2
How I Mangalore,2,3
Vedas,2,3
Sai Tirth Misal House,2,5
Khandeshi Darbar,2,0
Cafe Jitters,2,3
Swagat Hotel,2,1
SK Chinese & Biryani House,2,5
Chinese Street,2,3
Mad's Meal,2,4
Jayashree Garden,2,5
Shrusti Tiffin Services,2,3
Amrale Misal,2,4
Hotel Sitara Garden,2,3
Shanmukha,2,1
Raj Bhel,3,1
Night Feeder's,3,0
Wow Kolkata,3,0
Indrayani Cafe,3,2
Hotel Kadamb Sahyadari,3,3
Hotel Akshay,3,0
Saad Bakery,3,0
Hotel Rajvardhan,3,1
The Sunshine Cafe,3,1
Jai Swami Samarth Krupa Snacks,3,5
Puzzles,3,2
Burger Sports Cafe,3,0
Kuchen Cafe,3,5
Kasturi Biryani,3,2
Victoria 3,3,4
Hi Lemon,3,3
Ambe  Snacks Centre,3,2
Reddy's Variety Biryani,3,4
Mai Wadewale,3,3
Flavours Yummy Tasty,3,1
Hills Pizza,3,2
Pushkar Sweets,3,3
Swara Caffee,3,5
The Sandwich Club,3,0
Kakke Da Paratha,3,0
Shree Maa Ashapura Dining Hall,3,0
Sai Chinese,3,4
Tarang,3,0
Raavan Biryani,3,0
AL Azka Biryani,3,5
Vintage Cafe,3,4
Punjabi Zaika,3,3
Hotel Poona,3,4
Mo Combo,3,4
Nisarga Veg - Non Veg,4,2
AV's Sandwich & Dabeli,4,2
Aries Chinese Food,4,1
Whistle Podu,4,0
Al Zaika Snacks Centre,4,4
Burger Up!,4,3
Mast Malwani,4,2
The Flavours,4,2
Narmada Family Restaurant & Bar,4,5
Ali Bhopali,4,5
Fit Food Company,4,2
SAMARTH Panipuri And Bhel,4,3
Good Food Roll House,4,1
MM Caterers,4,4
The Mint Leaf Resto Lounge,4,4
Marathon The Veg House,4,1
Divyanjali Foods,4,3
Hotel Kaveri,4,5
Kekiz Cake Shop,4,4
Rolls Raja,4,4
De Dhakka Snacks Centre,4,2
Khao Piyo Khisko,4,3
Little Barbeque,4,0
Wok and Bite,4,4
The Happie Gut,4,4
New Prachi Pure Veg,4,1
Hotel Vihaan Pure Veg,4,2
The Palak Paneer Kitchen,4,3
R&J Book cafe,4,2
Yalla Yalla,4,0
Shri Sadguru Khanawal,4,3
Hotel Sitai,4,5
Cafe Rudra,4,0
Hotel Mahabaleshwar,4,4
@99,4,4
Dawat- E-Khas ( Biryani & More.. ),4,4
Kolhapuri Khasiyat,5,0
Bajir's Kebab & Rolls,5,3
U.P Wala,5,1
Sarvada Dosa,5,5
Hotel Purnbramha Pure Veg,5,2
Dawat Laziz Dum Biryani House,5,4
Anannya Biryani,5,3
Snehal Bhojnalay,5,1
Hotel Gomantak,5,5
Abhishek Non Veg Restaurant,5,2
Raje Chinese Restaurant,5,5
Kadhai,5,0
Go Pure Natural Ice cream,5,5
South Mouth,5,1
Pind Punjab Express,5,4
Hotel Tampa,5,3
Hotel Kaveri,5,2
Ambrosia Patisserie & Cafe - Ambrosia Resort and Spa,5,3
Raju Omlet,5,0
Hotel Mejwani,5,4
Empire Biryani,5,4
Hyderabadi Biryani,5,3
Breads And Biryanis,5,1
Shivneri Missal,5,2
Hyderabadi Royal Biryani,5,0
MB Express,5,1
Mithai World,5,4
Tummy Toll,5,0
The Kashmir Ice Cream And Snacks,5,2
Food Vibes,5,4
Nimantran,5,0
Creme De Fiesta,5,3
The Red Lion Hotel,5,2
Shahi Darbar,5,1
Jai Malhar Bhojnalya,5,0
Dosa Stori,5,1
Turkish Delight,5,2
Jamshed's Food,5,1
Shabari Bar & Restaurant,6,3
Ganraj Bhel & Panipuri,6,2
Aryan Restaurant,6,5
Food Mojo,6,1
Jui's Chill & Grill,6,0
Spice Of China Chinese,6,1
Hotel Rushi,6,5
The Bar Tales,6,1
Shabrii Thalipeeth Center,6,5
Fudsk,6,3
Ramble,6,2
BASKET O' FRIES N' MO,6,2
Meldona Foods India,6,1
सोBar,6,5
Rushis Kitchen,6,2
Pick Me Up,6,2
Meal 24,6,0
Hotel Poona Veg,6,3
Hotel Sonali,6,0
Shahi Misal,6,3
Hotel Amruta,6,1
Shivshakti Punjabi Dhaba,6,1
Hotel Arambha Veg Non Veg,6,3
Pi R Square Cafe,6,5
Valley Oak,6,1
Skadoosh,6,2
Atharva Pure Veg,6,1
V3 Paratha Palace,6,4
Status Family Rest-O-Bar,6,3
Cafe Diamond King,6,5
Geeta's Kitchen And Snacks Center,6,0
Chandromaa's,6,1
House Of Thali,6,4
Sujata's Pav Bhaji and Misal,7,4
Irani Corner,7,3
Hotel Shri Sainath,7,3
Wah Punjab,7,1
Kritg,7,2
The Big Chill Bar Underground,7,5
Jalsa Resto,7,1
Aditya Juice Bar,7,1
China Express,7,4
Raj Family Restaurant,7,3
Cafe Momos,7,2
Amritsari Zaika,7,4
Thanco's Natural Ice Cream,7,4
Nagmani Restaurant & Bar,7,4
Shubhra Veg And Non Veg Dinning Hall,7,2
Kand Patil Restaurant,7,1
The Chopstix,7,5
Vikram Resto-Bar,7,1
Eat-n-Dream,7,4
Sudit All Day Kitchen,7,4
That's Eat,7,2
Diners Delight,7,0
Ruchkar Poli Bhaji Kendra,7,2
Tea Post,7,1
Creamy Nuts,7,0
Hotel Sugran,7,0
Traditional Biryani House,7,5
Jamawali Biryani,7,1
S.K. Roll House,7,1
Spice Nation,7,4
Khushboo,7,4
Aasya's Homemade Food,7,3
The Paratha House,7,4
Nina Pinta Santamaria,7,4
Jay Ganesh Bhel & Panipuri,7,3
Bipin Snacks & Juice Bar,7,3
Dakshin Dosa,8,5
Zhakkas,8,0
Pavan Restaurant & Bar,8,2
K Snacks Centre & Bhojanalay,8,2
Shree Kala Aaba Misalwale,8,3
Zingaat Misal,8,1
Cafe Creme,8,4
Mad Biryani,8,1
Nayab,8,4
Sagar Sweets,8,2
Aanandam Cafe & Snacks,8,3
Sugran Swayampakghar,8,0
Eat-n-Dream,8,1
Tasty Bites,8,4
Vira Nagpur Saoji,8,5
Aashapura Pure Veg,8,4
Kolhapuri Fried Chicken,8,0
Hotel Sadhana,8,3
Taipai Momo,8,1
Cloud 9,8,2
KP's Pizza,8,5
Kolkata Rolls,8,4
Calcutta Sweet Mart,8,3
Step-In,8,5
Mathura,8,4
Jai Bhavani,8,1
Wich Wich,8,3
A1 Chikki,8,0
The Farm Life - Cafe & Store,8,3
The Coffee Corner,8,2
Star 1 Cakes,8,4
Hotel Shivaai,8,1
Surya's 24 Carat Biryani,8,4
Sagar Sweet Center,8,2
Neel's Kitchen,8,5
Hotel Marathwadi,8,1
Biryani & Co.,8,3
Al Kebabi,8,3
Dhokla House Sweets And Namkeen,8,3
Raag Cafe,8,1
Real Meal Deal,8,0
Chauras Aahar,8,1
Con-Fusion,8,0
Cafe Liquid Lounge,8,4
A-1 Pani Puri,9,5
The Basil Deck,9,2
Subhanallah Biryani House,9,4
Mousam Restaurant & Bar,9,0
Whole Sale Khana,9,2
Sahyadri Bhojnalaya,9,5
Nitus Cooking,9,0
Mandar Food Products,9,1
Irani Chai Cafe,9,5
Hotel Shivaai,9,5
Rajusheth Misalwale,9,4
Scoozi,9,2
29X7,9,4
Cheez-Sos,9,2
Cafe Pawsitive Vibes,9,1
Tejas Lassiwale,9,2
Kanifnath Snacks Center,9,5
Nawab Biryani,9,3
Swad Thali And Biryani House,9,0
Matoshri Bhel,9,4
Rudra Juice Bar,9,3
Anantha Resto Bar,9,4
The Paratha House,9,5
China Express,9,2
Pastry Corner,9,1
Cake N Crunch,9,3
Hotel Aaisaheb,9,3
Seemas Kitchen,9,2
Grahak Dinning,9,0
Tarang Veg And Non Veg Restaurant,9,0
Urbounce Cafe,9,0
JK Food Court,9,0
SD Cafe,9,1
Food Compass By Panthi,9,3
Simran's Kitchen,9,0
Vrundavan,9,2
U.P Wala,9,4
Pawar Biryanis,9,3
Spine Woods,9,2
Khushboo Restaurant,9,0
Alpona Bengali Hotel and Sweets,9,4
Chinese Corner,9,2
Hari Narayan Nasta House,9,5
Shree Swami Dosa Centre,9,2
Jalsa Resto And Bar,9,3
Jay Ganesh Tea Cafe,9,3
Hotel Golden,9,0
UK Blend,9,1
Hotel Payal,9,5
Paratha Wali Gali,9,1
The Food Park,9,1
SK Pattern Dining Hall And Snacks Centre,9,0
18 Chinese Food,9,1
Chinese Katta,10,5
Fantasy's,10,0
The Bridge - Radisson Blu Hotel,10,3
Jai Jotiba Dining,10,4
Hotel Monika,10,5
The Hungry Scholar Cafe,10,4
Saffron,10,5
Heena Fast Food And Veg Nonveg,10,2
Kolkata Spice,10,0
National Cafe,10,2
The Tea Shop,10,4
